cpu_percent,pid,name,memory_usage
0.0,34004,postgres,39.64
0.0,34005,postgres,30.55
0.0,34318,postgres,25.8
0.0,34372,postgres,37.16
0.0,34804,postgres,39.94
0.0,34805,postgres,32.75
0.0,34806,postgres,25.55
0.0,34807,postgres,33.98
0.0,35368,postgres,32.55
0.0,35382,postgres,27.55
0.0,35383,postgres,31.05
0.0,35395,postgres,22.43
0.0,35396,postgres,22.3
0.0,35397,postgres,22.43
0.0,35398,postgres,22.43
0.0,35399,postgres,22.43
0.0,35400,postgres,34.55
0.0,35401,postgres,30.9
0.0,35402,postgres,22.3
0.0,35403,postgres,22.8
0.0,35404,postgres,22.55
0.0,35405,postgres,22.68
0.0,35406,postgres,29.86
0.0,35407,postgres,22.68
0.0,35408,postgres,22.55
0.0,35409,postgres,22.43
0.0,35410,postgres,22.68
0.0,35411,postgres,22.68
0.0,35623,chrome,70.11
0.0,35642,kworker/4:0-events,0.0
0.0,35643,kworker/5:0-events,0.0
0.0,35761,postgres,22.8
0.0,35802,postgres,24.55
0.0,35836,python3,41.71
0.0,35837,python3,78.64
0.0,36280,postgres,24.3
0.0,36426,kworker/u17:1,0.0
0.0,36467,kworker/u17:3-i915_flip,0.0
0.0,36612,postgres,22.68
0.0,36613,postgres,25.8
0.0,36627,postgres,22.8
0.0,36667,kworker/7:1-events,0.0
0.0,36982,kworker/3:0-events,0.0
0.0,37022,python,13.75
